Car,Model,Volume,Weight,CO2
Toyota,Aygo,1.0,790.0,99.0
Mitsubishi,Space Star,1.2,1160.0,95.0
Skoda,Citigo,1.0,929.0,95.0
Fiat,500,0.9,865.0,90.0
Mini,Cooper,1.5,1140.0,105.0
Skoda,Fabia,1.4,1109.0,90.0
Mercedes,A-Class,1.5,1365.0,92.0
Ford,Fiesta,1.5,1112.0,98.0
Audi,A1,1.6,1150.0,99.0
Hyundai,I20,1.1,980.0,99.0
Suzuki,Swift,1.3,990.0,101.0
Ford,Fiesta,1.0,1112.0,99.0
Honda,Civic,1.6,1252.0,94.0
Hundai,I30,1.6,1326.0,97.0
Opel,Astra,1.6,1330.0,97.0
BMW,1,1.6,1365.0,99.0
Mazda,3,2.2,1280.0,104.0
Skoda,Rapid,1.6,1119.0,104.0
Ford,Focus,2.0,1328.0,105.0
Ford,Mondeo,1.6,1584.0,94.0
Opel,Insignia,2.0,1428.0,99.0
Mercedes,C-Class,2.1,1365.0,99.0
Skoda,Octavia,1.6,1415.0,99.0
Volvo,S60,2.0,1415.0,99.0
Mercedes,CLA,1.5,1465.0,102.0
Audi,A4,2.0,1490.0,104.0
Audi,A6,2.0,1725.0,114.0
Volvo,V70,1.6,1523.0,109.0
BMW,5,2.0,1705.0,114.0
Mercedes,E-Class,2.1,1605.0,115.0
Volvo,XC70,2.0,1746.0,117.0
Ford,B-Max,1.6,1235.0,104.0
BMW,216,1.6,1390.0,108.0
Opel,Zafira,1.6,1405.0,109.0
Mercedes,SLK,2.5,1395.0,120.0
Nissan,Qashqai,2.2,1315.5217391304348,112.0
Toyota,Prius,1.8,1380.0,70.0
Volkswagen,Golf,1.4,1250.0,98.0
Ford,Fiesta,1.7127659574468086,1315.5217391304348,107.74468085106383
